"","CODIGO","MUNICIPIO","AREAKM2","DD2000","DC","EVN2000","M1ANO2000","FT2000","AN25A2000","RPC2000","IG2000","II2000","IP2000","IDH2000","FE2000","ALFA2000","AE25A2000","POP25A1991","POP25A2000","POP65A1991","POP65A2000","POPTOT1991","POPTOT2000","POPURB2000","POPRUR2000","PERC_POP_25A","PERC_POP_65A","PERC_POP_URB","PERC_POP_RUR","key","Grupo"
"19",230020,"Acaraú (CE)",839.2,58.4,197.8184874,65.24,50.54,4.57,45.6,80.6,0.65,58.35,59.19,0.617,81.34,60.25,2.44,16514,20074,2209,2913,45505,48968,24582,24386,40.9941186080706,5.94878287861461,50.2001306975984,49.7998693024016,"230020","2"
"20",150020,"Acará (PA)",4363.6,11.8,65.66332785,67.85,34.63,4.07,41.16,81.8,0.51,40.31,48.26,0.629,62.39,68.39,2.23,12537,19040,1323,2049,37184,52126,9745,42381,36.5268771822123,3.93085983961938,18.6950849863792,81.3049150136208,"150020","2"
"21",240010,"Acari (RN)",612.9,18.2,173.3097936,68.67,36.7,2.34,29.32,133.38,0.49,40.52,41.76,0.698,81.67,75.72,4.52,5125,5715,963,1002,11270,11189,8841,2348,51.076950576459,8.95522388059701,79.015104120118,20.984895879882,"240010","3"
"22",220005,"Acauã (PI)",994.9,5.2,395.8402898,56.17,79.28,3.69,41.08,39.59,0.67,73.41,73.66,0.532,76.05,65.35,1.79,1884,2233,258,289,5217,5147,675,4472,43.3844958228094,5.61492131338644,13.1144355935496,86.8855644064504,"220005","2"
"23",230030,"Acopiara (CE)",2296.2,20.5,282.7956327,62.06,64.09,3.02,49.24,90.04,0.72,68.39,65.37,0.597,80.93,57.05,2.3,20696,22912,3399,3988,49259,47137,22230,24907,48.6072512039375,8.46044508560155,47.1604047775633,52.8395952224367,"230030","2"
"24",510010,"Acorizal (MT)",844.1,6.9,52.13629688,69.67,26.3,3.14,35.43,124.33,0.59,53.92,49.45,0.695,80.89,74.04,3.26,2134,2673,318,401,5308,5817,2773,3044,45.9515214027849,6.89358776001375,47.6706205948083,52.3293794051917,"510010","3"
"25",120001,"Acrelândia (AC)",1609.7,4.9,102.7801679,67.39,28.33,4.36,35.53,136.54,0.64,60.96,54.69,0.68,75.35,73.31,3.27,1677,3046,92,228,4792,7935,3506,4429,38.3868935097669,2.87334593572779,44.1839949590422,55.8160050409578,"120001","2"
"26",520013,"Acreúna (GO)",1571.1,11.6,143.4666658,70.09,21.13,2.22,21.78,249.96,0.6,59.73,39.57,0.763,90.65,81.37,4.39,6024,9114,358,744,14059,18301,15883,2418,49.8005573465931,4.06535162013005,86.7876072345774,13.2123927654227,"520013","1"
"27",210005,"Açailândia (MA)",6431,13.7,445.1678467,62.3,52.16,3.27,30.64,148.62,0.63,45.89,45.18,0.666,80.52,75.13,3.78,22384,35029,1399,2707,63626,88320,64164,24156,39.6614583333333,3.06499094202899,72.6494565217391,27.3505434782609,"210005","3"
"28",240020,"Açu (RN)",1297.5,36.9,189.528822,65.66,47.56,2.83,33.25,141.27,0.6,51.25,47.1,0.677,84.01,71.13,4.65,17996,22733,2723,3029,43591,47904,34645,13259,47.4553273213093,6.32306279225117,72.3217267869071,27.6782732130929,"240020","3"
"29",310050,"Açucena (MG)",814,14.1,169.2990246,67.89,35.44,2.58,31.68,90.49,0.56,53.99,52.01,0.659,73.48,73.99,2.97,5400,5559,865,1039,12399,11489,4579,6910,48.3854121333449,9.04343284881191,39.8555139698842,60.1444860301158,"310050","2"
"30",350010,"Adamantina (SP)",412.9,81.1,499.9510598,71.71,14.96,1.98,12.11,354.98,0.54,42.19,33.3,0.812,89.73,90.52,6.37,17154,19917,2296,3264,32091,33497,30368,3129,59.4590560348688,9.74415619309192,90.6588649729827,9.34113502701734,"350010","4"
"31",520015,"Adelândia (GO)",115.7,21.5,101.477113,68.61,24.88,2.46,25.58,164.76,0.56,45.25,40.67,0.715,79.69,79.25,4.07,1007,1288,64,160,2339,2460,2039,421,52.3577235772358,6.50406504065041,82.8861788617886,17.1138211382114,"520015","1"
"32",350020,"Adolfo (SP)",211.4,17.4,401.9292569,76.77,7.12,2.02,17.06,238.02,0.45,48.48,35.02,0.795,77.36,86.86,4.78,1673,2096,210,298,3272,3684,3071,613,56.8946796959826,8.08903365906623,83.3604777415852,16.6395222584148,"350020","1"
"33",410020,"Adrianópolis (PR)",1333,5.3,90.25479778,69.87,18.94,3.21,31.63,115.6,0.59,65.88,58.81,0.683,72.23,74.09,3.67,3839,3366,501,568,8935,7007,1613,5394,48.0376766091052,8.10617953475096,23.0198373055516,76.9801626944484,"410020","3"
"34",290035,"Adustina (BA)",636,22.6,274.5750212,56.31,78.58,3.21,54.73,85.81,0.52,42.28,50.48,0.551,75.6,54.5,1.72,5126,6236,724,864,13714,14302,4484,9818,43.6022933855405,6.04111313103063,31.3522584253951,68.647741574605,"290035","2"
"35",260010,"Afogados da Ingazeira (PE)",386,85.3,305.419164,68.66,42.39,2.64,36.78,140.66,0.66,55.05,55.8,0.683,75.99,70.52,4.16,12690,15584,2036,2469,29617,32922,23149,9773,47.3361278172651,7.49954437761983,70.3146831905717,29.6853168094283,"260010","3"
"36",240030,"Afonso Bezerra (RN)",560.8,19.4,147.1712354,65.5,48.17,2.29,47.15,92.47,0.62,53.79,58.48,0.629,83.78,60.59,3.23,4374,5279,666,907,10733,10867,6500,4367,48.578264470415,8.34636974325941,59.814116131407,40.185883868593,"240030","2"
"37",320010,"Afonso Claúdio (ES)",955.2,33.7,86.37269287,69.39,25.23,2.4,22.67,183.75,0.55,47.49,44,0.717,65.91,82.44,4.2,13866,16334,1630,2170,31570,32232,14463,17769,50.6763464879623,6.73243981136759,44.8715562174237,55.1284437825763,"320010","1"
"38",210010,"Afonso Cunha (MA)",372.6,12.6,208.6202233,60.71,58.54,4.45,53.99,49.05,0.53,48.35,61.57,0.558,80.89,57.78,2,1474,1752,202,235,4580,4680,2255,2425,37.4358974358974,5.02136752136752,48.1837606837607,51.8162393162393,"210010","2"
"39",260020,"Afrânio (PE)",1488.6,10.1,675.3347901,68.35,43.61,3.23,45.61,71.18,0.57,51.32,59.48,0.634,80.17,64.33,2.18,5168,6584,738,935,13305,15014,3985,11029,43.852404422539,6.22752098041828,26.5418942320501,73.4581057679499,"260020","2"
"40",150030,"Afuá (PA)",8410.3,3.5,254.1767807,69.72,28.67,5.8,52.49,75.02,0.48,41.32,48.88,0.612,66.66,56.39,1.66,6097,9415,620,983,20008,29505,6782,22723,31.9098457888493,3.33163870530419,22.9859345873581,77.0140654126419,"150030","2"
"41",260030,"Agrestina (PE)",198,101.2,125.3226104,64.41,60.72,3.46,51.45,108.04,0.63,54.98,53.36,0.612,73.65,57.04,2.82,7604,9455,1431,1705,17993,20036,12895,7141,47.1900578957876,8.50968257137153,64.3591535236574,35.6408464763426,"260030","2"
"42",220010,"Agricolândia (PI)",99.2,53.8,80.25522694,65.35,41.11,2.75,41.64,66.68,0.49,49.05,55.66,0.622,82.3,66.76,3.51,2201,2450,302,395,5457,5340,3942,1398,45.8801498127341,7.39700374531835,73.8202247191011,26.1797752808989,"220010","2"
"43",420020,"Agrolândia (SC)",192.3,40.6,127.5290259,73.28,17.4,2.86,8.7,213.5,0.47,42.05,37.04,0.775,70.34,92.82,4.73,4040,4219,456,494,8565,7810,4634,3176,54.0204865556978,6.32522407170295,59.3341869398207,40.6658130601793,"420020","1"
"44",420030,"Agronômica (SC)",116.7,36.5,120.3947035,76.01,11.55,2.08,7,267.32,0.46,30.97,31.22,0.811,77.1,93.08,4.51,2059,2359,207,275,4317,4257,872,3385,55.4146112285647,6.45994832041344,20.4839088560019,79.5160911439981,"420030","1"
"45",350030,"Aguaí (SP)",474.6,59.3,169.1467259,71.55,15.24,2.59,11.66,308.12,0.56,58.41,29.82,0.786,76.05,89.93,5.27,11737,15081,1364,2033,23363,28195,24708,3487,53.4882071289236,7.21049831530413,87.6325589643554,12.3674410356446,"350030","4"
"46",310080,"Aguanil (MG)",235.8,15.1,195.0883319,72.85,20.68,2.39,19.87,196.55,0.49,36.73,30.44,0.741,67.24,82.04,4.17,1668,2037,231,324,3197,3562,1869,1693,57.1869736103313,9.09601347557552,52.4705221785514,47.5294778214486,"310080","1"
"47",430010,"Agudo (RS)",533.1,32.7,198.4770671,73.23,14.51,2.37,9.94,277.63,0.53,46.7,35.67,0.786,69.92,91.54,4.84,8912,10125,1158,1514,16718,17455,5655,11800,58.0063019192208,8.67373245488399,32.3975938126611,67.6024061873389,"430010","1"
"48",350070,"Agudos (SP)",970,33.5,268.7790503,70.79,16.67,2.23,10.31,266.32,0.54,55.47,45.8,0.786,83.85,91.39,5.97,13872,16504,1518,1961,30051,32484,30692,1792,50.8065509173747,6.03681812584657,94.4834380002463,5.51656199975372,"350070","4"
"49",410030,"Agudos do Sul (PR)",191.7,37.6,63.08891241,67.23,25.07,2.81,15.72,153.99,0.56,48.13,46.01,0.712,71.47,87.12,4.13,2656,3592,323,441,6076,7221,1466,5755,49.7438027973965,6.10718737017034,20.301897244149,79.698102755851,"410030","1"
"50",250020,"Aguiar (PB)",385.9,14.6,364.7716956,61.51,55.3,3.33,54.72,60.38,0.53,53.78,61.35,0.56,75.51,54.56,2.51,2641,2602,423,473,6771,5638,2201,3437,46.1511174175239,8.38949982263214,39.0386661936857,60.9613338063143,"250020","2"
"51",170030,"Aguiarnópolis (TO)",239.8,13.1,411.6592973,60.41,61.71,3.71,33.9,89.29,0.63,61.01,59.68,0.629,82.95,74.65,3.39,900,1250,102,147,2482,3145,2304,841,39.7456279809221,4.67408585055644,73.2591414944356,26.7408585055644,"170030","3"
"52",310110,"Aimorés (MG)",1353.4,18.5,304.7229042,72.29,22.16,2.05,22.54,179.09,0.57,43.72,39.29,0.731,69.57,80.31,4.59,12592,13709,1755,2252,26440,25105,18764,6341,54.6066520613424,8.97032463652659,74.7420832503485,25.2579167496515,"310110","1"
"53",290060,"Aiquara (BA)",195.9,27.1,196.6833822,62.65,50.83,3.57,40.56,86.14,0.56,47.49,54.02,0.627,86.36,67.36,2.7,2481,2330,336,432,6612,5315,2726,2589,43.8381937911571,8.12793979303857,51.2888052681091,48.7111947318909,"290060","2"
"54",230040,"Aiuaba (CE)",2471.6,5.8,362.4859311,61.93,64.71,4.11,51.07,51.76,0.66,67.6,69.28,0.566,83.46,56.13,2.02,5158,6223,803,953,13219,14452,3162,11290,43.0597841129255,6.59424301134791,21.8793246609466,78.1206753390534,"230040","2"
"55",310120,"Aiuruoca (MG)",651.8,9.9,249.1312232,70.64,26.76,2.18,18.88,207.12,0.61,37.45,35.8,0.736,69.16,82.85,4.25,3351,3698,415,580,6616,6469,3020,3449,57.1649404853919,8.96583706909878,46.6841861184109,53.3158138815891,"310120","1"
"56",430020,"Ajuricaba (RS)",335.3,23,317.1021165,69.52,22.51,2.19,5.67,244.31,0.48,44.51,41.28,0.781,85.21,93.78,5.35,4546,4644,565,721,8607,7709,3759,3950,60.2412764301466,9.35270463095084,48.7611882215592,51.2388117784408,"430020","1"
"57",310130,"Alagoa (MG)",162,17.3,271.0832386,71.53,24.22,2.31,20.18,157.73,0.55,38.92,40.41,0.726,69.4,82.84,3.74,1446,1599,195,254,2756,2800,1001,1799,57.1071428571429,9.07142857142857,35.75,64.25,"310130","1"
"58",250030,"Alagoa Grande (PB)",333.7,87.4,85.17547031,66.03,38.83,3.04,52.17,93.48,0.56,41.88,50.27,0.609,75.16,54.38,2.76,12162,13434,2491,2812,30128,29169,16847,12322,46.0557441118996,9.64037162741266,57.756522335356,42.243477664644,"250030","2"
"59",250040,"Alagoa Nova (PB)",119.6,155.3,98.81231213,64.62,43.62,3.44,47.79,82.87,0.61,50.08,58.21,0.612,78.19,60.85,2.71,6384,8534,1351,1675,15616,18575,8301,10274,45.9434724091521,9.01749663526245,44.6890982503365,55.3109017496635,"250040","2"
"60",250050,"Alagoinha (PB)",94.7,124.9,77.41615884,58.54,67.95,2.9,53.31,83.42,0.54,44.63,51.43,0.573,81.52,56.47,2.39,4331,5238,904,957,11075,11833,7789,4044,44.2660356629764,8.08755176202147,65.8243894194203,34.1756105805797,"250050","2"
"61",260060,"Alagoinha (PE)",180.1,69.5,213.3570114,65.79,54.41,3.2,39.25,92.26,0.56,52.45,55.43,0.63,75.24,64.6,3.31,5006,6198,884,1115,11068,12535,6738,5797,49.4455524531312,8.8950937375349,53.7534902273634,46.2465097726366,"260060","2"
