"";"code_muni";"name_muni";"code_state";"abbrev_state";"key";"CODIGO";"MUNICIPIO";"AREAKM2";"DD2000";"DC";"EVN2000";"M1ANO2000";"FT2000";"AN25A2000";"RPC2000";"IG2000";"II2000";"IP2000";"IDH2000";"FE2000";"ALFA2000";"AE25A2000";"POP25A1991";"POP25A2000";"POP65A1991";"POP65A2000";"POPTOT1991";"POPTOT2000";"POPURB1991";"POPRUR2000";"geom"
"1";2200954;"Aroeiras Do Itaim";"22";"PI";"220095";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(list(c(-41.5594225751899, -41.5481214724964, -41.506371851027, -41.4773361967809, -41.4624550919376, -41.4589334152074, -41.4538700918569, -41.4490235707098, -41.4433479511435, -41.4220616147217, -41.4289649339665, -41.4383751285943, -41.4781839752093, -41.5652458460454, -41.6546134681319, -41.6049588366353, -41.5594225751899, -7.17996624323573, -7.16847246709251, -7.16115202394358, -7.18750361890901, -7.18704976003015, -7.19436901054957, -7.21188743678079, -7.21728146491258, -7.21960738623115, 
-7.27282219466025, -7.27547073840505, -7.28685917920124, -7.31880142632321, -7.28800518419577, -7.29820892713852, -7.22510832146277, -7.17996624323573)))
"2";2206720;"Nazária";"22";"PI";"220672";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(list(c(-42.9230300569121, -42.9149765171091, -42.9123331864012, -42.9079994272393, -42.9003068863422, -42.8884222759299, -42.8836070315683, -42.8737357873921, -42.8708598581167, -42.8674114163065, -42.8648930565972, -42.8420200510939, -42.8280010872563, -42.8246230834618, -42.8150379312622, -42.8137583845101, -42.8070396107564, -42.8065923111099, -42.7996163779267, -42.7886366831007, -42.7852359925083, -42.7760857676311, -42.7649658302713, -42.758780761309, -42.7527496111825, -42.7689712409062, 
-42.775844318253, -42.7777960316353, -42.7857211053135, -42.8008946244468, -42.8098200885298, -42.8109298935281, -42.8198940050064, -42.8515261420929, -42.8515112844923, -42.8478245924384, -42.8573399346555, -42.8646273657983, -42.8733928058168, -42.8780619374528, -42.8824742549891, -42.8871616438049, -42.8926947563656, -42.9000097159138, -42.9047009787937, -42.9100611146505, -42.9170813857761, -42.9217048208556, -42.9260502613212, -42.9314505089048, -42.9359940509993, -42.9433535742322, -42.945756467525, 
-42.9604150401947, -42.97066656609, -42.9760072266295, -42.986664571059, -42.9936132969809, -42.9969149215278, -43.0004429431752, -43.0052780890802, -43.0030830995988, -43.0001337498658, -42.995252686814, -42.9906959743309, -42.977110977929, -42.9743078388055, -42.9701948974025, -42.9684956634186, -42.9624758831602, -42.9575891466855, -42.9377547142404, -42.9326744834228, -42.9295072274411, -42.9230300569121, -5.42805525032592, -5.40098145108778, -5.39607841953414, -5.39226300507841, -5.38952485557819, 
-5.39141514803834, -5.39077040301646, -5.38329787756346, -5.37976287263549, -5.37040665641967, -5.36803579247445, -5.35905164450503, -5.34955096324274, -5.34564372339852, -5.31418484916918, -5.31794042525039, -5.31897992612292, -5.31797969163337, -5.32359941849473, -5.32557246518386, -5.32841108970166, -5.33079352946933, -5.33580973461932, -5.34023161389838, -5.35491148279642, -5.43151917608604, -5.45009565182178, -5.45261536747011, -5.45612216136108, -5.48152660746401, -5.49305652397141, -5.49656327859672, 
-5.49821393842137, -5.49008482643954, -5.50113088163546, -5.52527453488773, -5.52514802566818, -5.52784682168207, -5.52150095766675, -5.52834617745642, -5.52594687281745, -5.52767008588479, -5.52624027628195, -5.53045501283679, -5.53111469668603, -5.54253592709085, -5.53898472897161, -5.54061189268567, -5.53898334983629, -5.53900340515607, -5.53595943285435, -5.53551886575083, -5.53892468399153, -5.54846204513708, -5.56170306714839, -5.55943441515327, -5.55832251024334, -5.55170196768478, -5.55085645711184, 
-5.54366410155195, -5.5419041089191, -5.53576353790033, -5.51669520893349, -5.50694310896708, -5.49964029225093, -5.48998867015048, -5.48589554233767, -5.45551451642632, -5.45130311470189, -5.4464652452523, -5.44473453082146, -5.44170378817021, -5.43970412079785, -5.43743083908218, -5.42805525032592)))
"3";2207793;"Pau D'arco Do Piauí";"22";"PI";"220779";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;list(list(c(-42.4581871907826, -42.4508815539507, -42.4487811086655, -42.4457077913256, -42.4434128909118, -42.430344020987, -42.4194212355902, -42.4186630327268, -42.4218527011653, -42.4133234336562, -42.3990276383249, -42.3935540459801, -42.3790521883509, -42.3511386522335, -42.3489370364226, -42.3473092598808, -42.3462758806862, -42.3390834497217, -42.3269531915912, -42.3393409916752, -42.3429473605584, -42.3473267375555, -42.3499911627739, -42.3544793412645, -42.3582895674414, -42.3634958560631, 
-42.3721902645294, -42.374669026385, -42.379501255333, -42.3931093803431, -42.3952511255584, -42.3971075915988, -42.4061609248969, -42.4125804209031, -42.4192519645919, -42.4236386453364, -42.4344927987299, -42.4418859415619, -42.4488879180971, -42.4567196643264, -42.4610514143339, -42.4629995242733, -42.4710220145464, -42.4787795907204, -42.4796965084965, -42.4857757023785, -42.4941126095273, -42.4952452199258, -42.4932243579641, -42.4935784645398, -42.5005002217885, -42.5028846434181, -42.5039746975084, 
-42.5031916977952, -42.5074465747419, -42.5128592513574, -42.5231681427893, -42.5284184496678, -42.5337734447424, -42.5361423975775, -42.5412486709536, -42.5464676129276, -42.5479723861358, -42.5601935047781, -42.5619415632235, -42.5673034674717, -42.5785273308913, -42.5845510849449, -42.583775980268, -42.5857466271838, -42.5923294963531, -42.5988862602892, -42.6010870885634, -42.598972653436, -42.5948928831492, -42.5895648531643, -42.58628150992, -42.5792599167709, -42.5794351629135, -42.478623738424, 
-42.4771966278751, -42.4771567728921, -42.4753854624548, -42.4692304831972, -42.4697640603701, -42.465463043859, -42.4581871907826, -5.20565612475689, -5.20691928880392, -5.21185368855232, -5.21392674727815, -5.2125991874305, -5.19574011550713, -5.18932499620404, -5.18734541298148, -5.18384387614887, -5.18128170897752, -5.17012967106019, -5.17010597496146, -5.15266942223403, -5.1858460880759, -5.19459700719009, -5.21612853478256, -5.22024808698738, -5.23238399070572, -5.29818747508356, -5.30658197925036, 
